0.3253007311,0.8898449133,0.2195770263,0.0718748688,-0.0844533502,0.4812953385,0.1428663831,-0.0875528961,0.6302935795,-0.0838239458
0.2961371980,-0.1460215156,0.1517564139,-0.3083835864,-0.3261278298,-0.6293272210,0.1363758228,0.0108602205,-0.1636839299,0.3891753180
0.0078457647,0.0062179413,-0.1364877980,-0.0427245738,0.1516460662,0.0441027657,0.0107556658,0.2853841340,0.3687185840,0.0265255723
-0.2787081977,0.1195641179,0.0397408439,0.4123507440,-0.0373920797,0.0763102531,-0.2695476154,0.3462923324,-0.1454005923,0.0448974420
-0.0501418473,0.2656396192,0.0509945636,0.2307077876,0.0170255419,-0.4710623032,0.7297621716,0.3554369306,-0.2606576225,0.1051705003
-0.2255751571,-0.3637568903,0.5885934158,0.3867295084,-0.4751032369,-0.2073303885,-0.0393934532,0.0919202490,-0.0880533857,-0.0213967845
0.0449237662,0.2702892445,-0.2597821204,0.0879325819,-0.6327649930,0.2481253761,0.6082815797,-0.2124939295,0.1210668650,0.0350085602
-0.2547688714,-0.1460195671,-0.2347975676,-0.5869481583,0.7980131971,-0.0962243691,0.1204082876,-0.2871219552,0.2035471104,-0.1708548926
-0.1637728359,0.0090941261,-0.5694022153,-0.0804390793,0.1717442700,-0.2054631650,-0.0021697073,-0.4078047616,-0.1182791373,-0.1926560775
-0.0182815188,0.1889689831,0.2407374591,-0.0627766516,0.0842728258,0.5439047047,-0.0135750663,0.2246858688,-0.1854440944,0.0713632098
-0.4030415734,-0.0530235420,0.0080916549,-0.0708818579,0.5856415640,-0.0079216785,-0.0572347642,0.7710745702,0.4392934580,0.4595606826
-0.2528298888,-0.2631285223,0.2432478763,0.1763980223,0.5880572873,0.5658034412,0.3505547829,0.0022586818,0.5095497729,0.3095126142
0.1313618054,-0.0982118920,0.4207329769,-0.0819693051,-0.1958091930,0.1166619066,0.1460920222,0.0155846465,-0.4370241818,-0.2556394209
-0.0658864221,-0.5114025127,-0.2868409121,0.5201243569,-0.2956516878,0.4603738199,-0.0290967823,0.0530103661,0.6557828931,0.0987530173
0.5280460059,0.0050853966,0.0554439582,-0.2097717534,0.0726482190,0.5379579757,0.3918751703,0.5260695212,-0.0532472279,-0.1797294212
0.2816088242,0.1189059255,0.6140659022,0.3290161741,0.0230153616,0.0335359155,-0.2153507459,0.2179255192,-0.2611085100,-0.1557224409
-0.1752880119,0.4705249578,-0.1053421736,-0.3684691691,0.4675858616,-0.0161087824,0.7406005529,-0.1546572037,0.1087162522,0.4583091142
0.0742357978,0.2408068001,-0.1243451445,-0.4586464528,0.3064850946,-0.1778395493,-0.0721013665,0.7797812832,-0.1212110931,-0.3278796011
0.0253424118,-0.2715138570,-0.1509765382,-0.0501561383,0.2130396099,0.0185221042,0.2289836355,0.0993131790,-0.2983105510,-0.0886078184
0.1431426941,0.5427735727,-0.1522983705,0.3354094572,-0.1525920415,0.8662273785,0.3041722786,0.2358347548,-0.0668598481,0.1821028318
-0.4605331042,-0.2351924876,0.5489706671,0.5737029256,0.0584496880,0.0554054144,-0.0194602918,-0.1440215190,0.6316534903,0.4905346697
-0.0161799874,0.1818848899,0.0849108581,-0.0921391414,0.3498294598,0.0216352620,-0.2597734586,0.0706729375,-0.3886323294,0.2581810868
-0.1333927215,-0.3930082538,0.5089836128,0.2204653777,0.5932273174,-0.0142066592,0.2720076681,0.0072086138,-0.1893703355,-0.5312359648
0.0797447993,-0.1197179836,0.4009624210,-0.2667448215,0.4684880623,0.0329448009,-0.3917526576,0.4759925471,0.4120465272,0.2172321083
0.6652249594,0.0996802112,0.0833557196,0.0642636243,-0.2097290387,-0.5287515417,0.8187428691,0.3929937831,0.5273969812,0.2325479129
-0.0844827930,-0.1019673781,-0.0727810408,0.1074274075,0.2593492773,0.5679000978,0.2142860445,-0.1581666839,-0.2408026635,-0.0123058627
-0.4073756845,0.2726300116,0.1002147530,-0.3455941023,0.4173047311,0.0162547033,0.4285679029,0.1049149828,0.2623482444,0.5082532825
0.2482860411,-0.0281290254,0.0491196977,0.8290736610,-0.0314024846,0.6468424932,-0.2054494329,-0.0376202565,0.2415740435,0.0144317664
0.4951237637,-0.1506109253,-0.0451184857,-0.4053889855,0.4363300351,0.3637536237,0.5448305690,0.3531902606,-0.2010518114,0.4962495280
-0.0482884654,0.5488390964,0.2021390229,-0.1437913264,0.3079070212,-0.1712812752,0.2668436855,-0.1604920108,0.2470055770,-0.5975796298
0.0605632294,-0.0282067278,0.9222614175,-0.1415035487,-0.1159727438,0.3560594262,0.6005742795,-0.2538606770,0.3320698501,-0.4437160418
0.2880397186,-0.0434923465,-0.0717002595,-0.1376788944,0.0530661855,0.0388955163,-0.0617901398,-0.2704426089,0.0071597399,-0.1022261119
