0.1868569055,-0.0065634168,-0.0765112650,-0.1898129693,-0.0199141502,0.0349571787,0.1523422175,-0.1889795615,0.0886874296,-0.3998898292,-0.0455537911,0.1026877524,0.1066509588,0.0146203460,-0.3044936537,-0.0345925753,0.0521965051,0.0489064526,0.3598906433,-0.1266860178,-0.1637951696,-0.1273719200,0.0151176286,-0.1204218436,-0.0210740626,0.0660520894,-0.0642255581,-0.1538226084,0.0601179380,-0.1476871011,-0.2525075208,-0.1228788363,0.0840504716,0.1910897135,-0.2178354620,-0.3135173951,-0.2043689889,-0.1668937714,-0.2248653871,0.0298429654,0.1616788690,0.0780569690,0.1412803396,0.1668436749,0.0698492152,-0.0883988754,-0.1677000291,-0.3076625725,-0.0899411400,-0.0978501156,0.0479707040,0.2658191340,0.0646122144,-0.0324865172,0.1642708106,0.1537310271,-0.0405746429,0.1493089043,0.0334231567,0.0602702435,0.1097691277,0.1876311417,0.1596378046,0.0468838486
-0.0693741420,-0.0340270918,-0.1229749261,0.0431339291,-0.0002631832,-0.1181533280,-0.2611269102,0.1194340652,0.1488616459,0.3544572902,0.2822454550,0.1356714437,-0.1808815831,0.1694946182,-0.1688534077,-0.0533721999,-0.2825607778,-0.1886556480,0.0921395733,-0.0137300645,0.4004920337,0.4170460784,-0.0623119610,-0.0140605686,-0.2804693059,0.0642486752,0.0641282699,0.0952550766,-0.0352792931,-0.0528139437,-0.1452014232,-0.0328065921,0.0935493204,-0.0139785377,0.0740030188,0.1049310875,-0.0947855826,-0.2200097120,-0.1975815789,0.2434477496,0.0395667195,0.2793652827,0.0156795929,0.1083065834,0.0852735302,-0.1319020622,-0.2531216680,-0.1650469877,-0.0535148415,0.2445652376,-0.0062413265,0.0220280999,-0.1123498507,0.1562897686,0.0380775541,0.0544453498,-0.1631940803,-0.0600822934,-0.1840005535,0.1908616609,0.1834305619,0.1617075745,0.0342951366,0.0636042943
0.3046099838,0.0912449835,0.1991751200,-0.3250790732,0.0676782669,-0.1356519966,0.0800276172,-0.0499081534,-0.1795998968,0.0061840247,-0.1270021267,-0.0776939067,0.1736790222,0.0075638782,0.1454437244,0.2993570567,0.1543386743,0.0875619693,-0.0813175954,-0.0627998275,0.1273568503,0.0616547599,-0.0038084074,-0.0456571958,0.2461902435,-0.0743544283,0.0966034577,-0.2263482409,-0.0530134726,0.2182612327,0.3168522462,-0.0806359233,0.0676763941,-0.0236057411,0.2956632731,0.1580836231,0.1949958117,-0.0121925729,-0.0933287023,-0.0830774673,-0.2772628333,-0.1355137963,-0.2153549686,-0.2527232761,-0.2088485159,0.2378033386,0.2595377714,-0.0795367872,0.1471246037,-0.1003646050,0.1909640608,0.1317969346,-0.0652931054,-0.0359901556,-0.0043153433,0.0876730957,-0.1590474564,0.0760624804,-0.2732581426,-0.0692357704,-0.1612727104,-0.1495857264,0.1228076566,0.0653155711
0.1612116996,-0.0628939807,-0.0428625593,-0.0144255268,0.0544300789,0.1378478141,-0.0267949338,-0.1267949655,0.0442091250,-0.0601646419,-0.3217359866,-0.1779365751,0.2293796877,0.0706030338,0.2935355165,0.1485629165,0.0584435010,-0.0924884148,0.0124695703,-0.2427040262,0.0606035097,-0.0808131172,-0.1680585982,-0.1672770574,-0.1074317277,0.0918877875,0.0415930415,-0.1244226970,-0.0812483704,0.0536283397,0.0470224847,0.1792986605,0.3524277408,0.0295772395,0.1640019698,-0.1214267925,0.1317750021,-0.0075789085,-0.0922672657,-0.0077146027,0.0425515916,-0.0343318386,0.0010349651,0.1352599514,0.1525555076,-0.0340865088,0.1413335447,-0.0707908498,-0.0651015792,0.0051234668,0.0526254668,0.0229845455,0.1418426728,0.0489850084,0.0241897054,-0.1833672807,-0.1720598412,-0.0598574929,-0.1860885098,0.2599802058,0.3409283202,0.0374562454,-0.0623784470,0.0786321054
0.2615695224,-0.1211106624,0.0820890979,-0.1253154272,-0.0261963311,-0.1958616435,0.1071768792,0.0583491105,0.0286757486,0.0691506652,0.0110534299,0.1483439104,-0.0987477725,0.1560764018,0.0723843687,0.0927077180,0.2482125612,0.0350893821,-0.1422924276,0.0194264402,-0.0291450652,-0.1298096452,-0.1280053301,-0.0473422861,0.0103249781,0.0382824596,-0.1889915003,0.3165959831,-0.0455697620,-0.1167673185,-0.0677581567,0.1855876420,-0.2196359105,0.0196896849,0.2127360304,-0.0546191729,0.3084870595,-0.0168970382,0.0414307523,0.0138002442,0.3229041431,0.1021094982,-0.1517865805,0.2319220053,0.0648927447,-0.0546044703,-0.0714582289,0.1451906469,0.0624110982,0.1808938918,-0.0606374571,0.2301967690,0.2870524492,-0.0858136336,0.1525244867,-0.1484274799,-0.0088866545,-0.0145852074,0.0462780086,0.1481822368,0.0824235622,0.0333779785,-0.2314004044,0.2128398152
0.0712752478,-0.0936117082,0.1733511087,-0.0145658979,0.1791153636,0.0899256259,0.1403742242,0.0170616035,0.0628362225,0.0001088549,0.1783496407,0.0242415594,-0.2303934488,-0.0236528547,0.0697821283,-0.0014276215,0.1561361273,0.0279501031,0.1350149375,-0.1582692758,0.2614219491,0.0343629855,0.1588174337,0.1800837006,-0.0468027448,0.4296187688,0.1673560742,0.0018214870,0.0916357684,-0.0088948161,0.1297693034,-0.0999075362,-0.1615867788,0.1130609167,0.3110650571,-0.0874475472,0.0844496479,0.2781300548,-0.2291289890,-0.0846684690,-0.2017368205,0.0919296539,0.2107530097,0.2277045900,0.0184936787,-0.2450435179,0.2145929858,-0.0508649756,0.1173856467,0.0423724277,-0.0963657489,0.0909911564,-0.0949941798,-0.1063730688,-0.0650683448,-0.1030201465,-0.0749502999,0.2649468111,0.2577947475,0.0794512491,0.0874383281,-0.0330523707,0.0534264154,0.3071414467
0.1225525264,0.0469460073,-0.0464360386,0.0986639533,-0.1663914978,0.2043948032,-0.0549653163,0.0535635826,-0.1569930900,0.0132733773,0.0406147488,0.1278699763,0.0673853380,0.1234820674,0.3559864400,0.2341155043,-0.2215423815,0.2446709607,-0.0162437546,0.2982684660,-0.1136535992,-0.1348337237,0.0520650887,0.1095231889,-0.1028356659,-0.0525835777,-0.3137493654,0.0559392308,0.1542018916,0.0582839395,0.1617834320,-0.0056579192,0.3634862155,0.1228574061,-0.2674966705,0.0699024473,0.0044042418,-0.0733320904,-0.0025321960,-0.0075916799,-0.0330106959,-0.0323032320,-0.2912317060,-0.0395076454,0.0835833235,-0.1140142938,-0.0621525870,0.0439959047,0.2492585584,0.0465923495,-0.2004528859,0.0317172459,-0.0034228265,-0.2303031823,0.0121340812,-0.0528360835,0.1186178924,-0.1071056657,0.1650000255,0.0069023153,0.2329249275,0.0829451340,0.0083642631,0.0198317112
-0.2120336613,-0.0721318293,0.1591894570,0.2324135894,0.0756975646,0.0210725265,0.0191576548,0.0786395584,0.0695962093,-0.3477906284,0.1575614929,-0.0538333251,-0.2252332137,-0.0235912000,-0.3752155833,0.2426801356,-0.0111096282,0.0199873369,0.0064098545,0.1325233414,0.2990622705,0.0614799484,0.0213084202,-0.0891836462,0.0241098291,-0.1469139033,0.0834236624,0.0399597186,-0.0703850803,0.0440896584,-0.0594990304,-0.2084364837,-0.1258250156,0.4148317844,0.2574343376,-0.1762326555,0.3518285290,0.1556536374,-0.1882561488,-0.0213672410,-0.1088385815,0.2331132677,-0.0220461343,0.0072113334,0.1085944309,-0.1717959959,-0.1080427701,0.0381894013,-0.1170289503,-0.1099534744,0.0261962333,0.0576264834,-0.0029248580,-0.1257222172,0.2087065272,0.0394890761,-0.0570001493,0.0023020766,0.3418492461,0.2638451471,-0.1938792164,-0.0223041114,0.0871281215,0.0399110101
-0.1785025616,0.0557880757,0.0805166556,0.1266374994,0.0126632206,-0.0224994477,0.0774514678,-0.0109138075,0.2026253316,-0.0901248520,0.0835899222,-0.0814597399,0.1361266026,-0.0003771498,0.0361371454,0.0274545836,-0.1826290166,0.0834502005,-0.0423352682,0.0473215692,0.0134055427,-0.1063539107,-0.1965375590,-0.0769212146,-0.0523276736,-0.0222004301,0.1978098800,-0.1088105849,-0.0575578982,-0.0871907518,0.0176252560,-0.2677027276,-0.2772548538,-0.2046789926,-0.0371113599,-0.0295930427,0.0534944791,0.0797090289,-0.0850511428,-0.0578695653,-0.0578184643,0.0623538414,-0.0510133318,-0.0289154165,-0.1528733475,0.0919639991,-0.1033367327,0.3012817435,0.0326219712,-0.0687785221,-0.0416715424,0.1384823672,0.0646225013,-0.1038651400,-0.2959842981,0.0934761965,0.0712794048,0.0082516267,0.1733997890,0.0431412605,0.0500449289,0.0073058456,-0.0364939771,-0.1367543848
0.2178696470,-0.0046340134,-0.0070443730,0.2527458024,-0.0672037941,0.0595203438,0.2606525886,0.0038759682,0.0149979122,-0.0412510212,-0.1161256318,-0.0206636702,-0.1672945068,0.0727723840,-0.0546919969,0.0333721380,0.2592339216,0.0887838391,-0.0197047593,-0.2105488228,-0.0712490482,-0.0668040268,0.1518189326,-0.1251087283,-0.0376670066,0.0876445234,-0.0613766684,-0.0234848525,-0.0618129427,0.0722986624,-0.1366873145,0.0882748382,-0.1109113518,-0.1817865378,-0.1754527970,-0.0463272752,-0.0215571157,-0.2557979881,-0.0910175920,-0.3306808020,-0.2106950843,-0.2747828792,0.2239750856,-0.0322606788,0.1131103308,-0.2560535596,-0.1428011038,0.1211987760,0.0949888519,-0.1182992953,-0.0649741964,-0.0450276114,0.1124760689,-0.1499130115,0.0890540651,-0.0945982848,-0.1585291796,0.0776349571,-0.0083005258,-0.1048141930,0.2555029359,0.1951714048,0.1214995354,0.2079546553
